name_ar,name_en,gender,religion,role,frequency_class,corpus_share_pct,slot1_pct,slot2_pct,slot3_pct,slot4_pct,slot5_pct,slot6_pct,slot7_pct,slot8_pct,tashkeel,meaning_ar,meaning_en,ar_variants,en_variants,data_version
عبدالرحمن,Abdelrahman,m,m,g,c,0.979609,50.06,6.82,14.95,18.26,9.25,0.63,0.03,0.0,عَبْدُالرَّحْمَن,عبد الرحمن (الرحمن من أسماء الله),Servant of the Most Merciful,عبدالرحمن|عبالرحمن|عبداارحمن|غبدالرحمن,Abdelrahman|Abdulrahman|Abd al-Rahman,v0.1.x
سيد,Sayed,m,n,g,c,0.85811,1.99,23.24,34.36,26.9,12.33,1.13,0.05,0.0,سَيِّد,السيد؛ الشريف,Master; sayyid (honorable title used as a name,سيد,Sayed|Sayyid|Syed,v0.1.x
حسين,Hussein,m,m,g,c,0.834811,4.12,17.58,25.33,31.88,19.41,1.6,0.09,0.0,حُسَيْن,تصغير حسن؛ الحسن الصغير,Diminutive of Hasan; little Hasan,حسين,Hussein|Husain|Hussain|Hosein,v0.1.x
عبدالحميد,Abdelhamid,m,m,g,c,0.686778,2.41,11.44,34.46,42.5,8.83,0.34,0.02,0.0,عَبْدُالْحَمِيد,عبد الحميد (الحميد من أسماء الله),Servant of the Praiseworthy,عبدالحميد|عبالحميد|عبداالحميد|عبدالحم|عبدالحمبد|عبدالحيمد,Abdelhamid|Abdulhamid|Abd al-Hamid,v0.1.x
مريم,Maryam,f,m,g,c,0.666867,99.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,مَرْيَم,اسم علم توراتي/قرآني للسيدة مريم,Mary; the Biblical/Qur'anic name,مريم,Maryam|Mariam|Miriam,v0.1.x
عمر,Omar,m,m,g,c,0.640489,62.58,11.28,8.25,8.28,8.15,1.37,0.09,0.01,عُمَر,اسم علم عربي؛ العمر/الحياة (معنى لغوي مرتبط بالجذر),Life; long-lived (traditional Arabic lexical association,عمر,Omar|Umar|Omer,v0.1.x
عبدالعزيز,Abdelaziz,m,m,g,c,0.623358,3.64,10.93,34.06,40.88,10.05,0.43,0.02,0.0,عَبْدُالْعَزِيز,عبد العزيز (العزيز من أسماء الله),Servant of the Mighty,عبدالعزيز|عبالعزيز|عبداالعزيز|عبدالزيز|عبدالعريز|عبدالعزبز|عبدالعزىز|عبدالغزيز,Abdelaziz|Abdulaziz|Abd al-Aziz,v0.1.x
إسماعيل,Ismail,m,n,g,c,0.570974,2.87,13.66,25.21,32.93,23.25,1.99,0.08,0.0,إِسْمَاعِيل,اسم علم توراتي/قرآني للنبي إسماعيل,Ishmael; the Biblical/Qur'anic prophet's name,إسماعيل|أسماعيل|اسماعل|اسماعيل|اسماعبل,Ismail|Ismael|Esmail|Ismaiel,v0.1.x
سعيد,Saeed,m,n,g,c,0.538237,4.95,32.96,40.96,13.18,6.98,0.92,0.04,0.01,سَعِيد,السعيد؛ المبارك؛ ذو السعادة,Happy; fortunate,سعيد,Saeed|Said|Saied|Saeid,v0.1.x
خالد,Khaled,m,m,g,c,0.53058,17.95,75.58,2.41,2.42,1.45,0.16,0.02,0.0,خَالِد,الدائم؛ الباقي,Eternal; immortal,خالد,Khaled|Khalid,v0.1.x
ملك,Malak,f,n,g,c,0.49124,98.49,0.04,0.22,1.06,0.18,0.0,0.0,0.0,مَلَك,الملاك؛ الملَك (كتابة شائعة لاسم Malak),Angel (common Egyptian spelling for Malak,ملك,Malak|Malaak,v0.1.x
عبدالفتاح,Abdelfattah,m,m,g,c,0.458031,1.87,10.89,41.31,35.72,9.63,0.55,0.03,0.0,عَبْدُالْفَتَّاح,عبد الفتاح (الفتاح من أسماء الله),Servant of the Opener,عبدالفتاح|عبالفتاح|عبداالفتاح|عبدالفتاج|عبدالفناح|عبدالقتاح|غبدالفتاح,Abdelfattah|Abdulfattah|Abd al-Fattah,v0.1.x
سعد,Saad,m,n,g,c,0.456378,3.28,19.71,43.01,21.24,11.26,1.44,0.05,0.0,سَعْد,السعادة؛ اليُمن,Good fortune; happiness,سعد,Saad|Sa'd,v0.1.x
رمضان,Ramadan,m,m,g,c,0.452735,1.63,34.41,36.34,16.56,9.75,1.26,0.05,0.0,رَمَضَان,شهر رمضان؛ منسوب إلى شهر الصوم,Named after the month of Ramadan,رمضان|رمصان,Ramadan|Ramadhan,v0.1.x
سليمان,Soliman,m,n,g,c,0.437566,1.31,7.35,19.75,34.15,33.76,3.5,0.17,0.01,سُلَيْمَان,اسم علم توراتي/قرآني للنبي سليمان,Solomon; the Biblical/Qur'anic prophet's name,سليمان,Soliman|Sulaiman|Suleiman|Solomon,v0.1.x
أشرف,Ashraf,m,n,g,c,0.434532,4.11,94.97,0.85,0.07,0.0,0.0,0.0,0.0,أَشْرَف,الأشرف؛ الأكثر شرفًا,Most noble; more honorable,أشرف|آشرف|اشرف,Ashraf,v0.1.x
فتحي,Fathy,m,n,g,c,0.416683,3.6,19.51,66.69,9.54,0.55,0.1,0.01,0.0,فَتْحِي,منسوب إلى الفتح؛ الفاتح,Related to conquest/opening; victorious,فتحي|فتحى|فتحىى,Fathy|Fathi,v0.1.x
شهد,Shahd,f,n,g,c,0.40512,99.99,0.0,0.0,0.0,0.0,0.01,0.0,0.0,شَهْد,العسل؛ الشَّهْد,Honey; honeycomb,شهد,Shahd|Shahed,v0.1.x
عطية,Attia,m,m,g,c,0.36925,0.57,9.16,27.51,33.03,27.04,2.59,0.1,0.0,عَطِيَّة,العطاء؛ الهِبة,Gift; grant,عطية|عطيه,Attia|Atiya|Atteya|Atiyah,v0.1.x
حبيبة,Habiba,f,m,g,c,0.368132,99.6,0.0,0.0,0.01,0.33,0.06,0.0,0.0,حَبِيبَة,المحبوبة؛ الحبيبة,Beloved; dear one,حبيبة|حبببة|حبببه|حببيبه|حببيه|حبيببة|حبيببه|حبيبه|حبييبة|حبيية|حبييه,Habiba|Habeeba,v0.1.x
أيمن,Ayman,m,n,g,c,0.352055,5.7,93.71,0.56,0.02,0.0,0.0,0.0,0.0,أَيْمَن,الميامن؛ ذو اليُمن والبركة,Fortunate; right-handed/blessed,أيمن|إيمن|ايمن,Ayman|Aimen,v0.1.x
هاني,Hany,m,n,g,c,0.336895,2.87,95.56,0.98,0.23,0.3,0.06,0.0,0.0,هَانِي,الهانئ؛ المستريح السعيد,Happy; carefree,هاني|هانئ|هانى,Hany|Hani,v0.1.x
عادل,Adel,m,n,g,c,0.33288,6.7,73.94,17.7,1.6,0.05,0.0,0.0,0.0,عَادِل,العادل؛ المنصف,Just; fair,عادل,Adel|Adil,v0.1.x
عبدالمنعم,Abdelmoneim,m,m,g,c,0.330055,2.97,15.28,50.13,25.35,5.88,0.39,0.01,0.0,عَبْدُالْمُنْعِم,عبد المنعم (المنعم من صفات الله),Servant of the Bestower of favors,عبدالمنعم|عبداالمنعم|عبدالمعنم,Abdelmoneim|Abdelmonem|Abdulmoneim|Abd al-Munim,v0.1.x
ندى,Nada,f,n,g,c,0.325949,95.6,0.16,0.24,0.7,2.65,0.62,0.03,0.0,نَدَى,الندى؛ البَلَل الخفيف صباحًا,Dew; morning moisture,ندى|ندا|ندي,Nada|Nadaa,v0.1.x
حامد,Hamed,m,m,g,c,0.321189,2.33,15.98,34.36,36.5,10.15,0.65,0.02,0.0,حَامِد,الحامد؛ الشاكر,Praiser; one who praises,حامد,Hamed|Hamid,v0.1.x
صلاح,Salah,m,m,g,c,0.314649,6.28,42.4,46.12,4.0,0.94,0.25,0.01,0.0,صَلَاح,الصلاح؛ الاستقامة,Righteousness; integrity,صلاح,Salah|Salaah,v0.1.x
عمرو,Amr,m,m,g,c,0.30899,40.55,56.64,0.81,0.5,1.27,0.21,0.02,0.0,عَمْرُو,اسم علم عربي قديم,Amr; early Arabic masculine name,عمرو,Amr|Amrou|Amro,v0.1.x
ياسر,Yasser,m,n,g,c,0.30622,4.38,94.81,0.7,0.09,0.02,0.0,0.0,0.0,يَاسِر,الميسور؛ السهل اليُسر,Easygoing; prosperous,ياسر,Yasser|Yaser|Yasir,v0.1.x
جمال,Gamal,m,n,g,c,0.305729,5.83,66.11,24.9,2.81,0.32,0.03,0.0,0.0,جَمَال,الجمال؛ الحُسن,Beauty,جمال,Gamal|Jamal,v0.1.x
سالم,Salem,m,n,g,c,0.305275,1.67,9.97,18.96,30.22,34.03,4.9,0.25,0.0,سَالِم,السالم؛ السليم من الآفات,Safe; sound,سالم,Salem|Salim,v0.1.x
شعبان,Shaaban,m,m,g,c,0.290678,1.08,33.9,39.19,15.72,8.96,1.08,0.07,0.0,شَعْبَان,شهر شعبان؛ منسوب إلى الشهر,Named after the month of Shaʿban,شعبان,Shaaban|Shaban|Sha'ban,v0.1.x
وليد,Walid,m,n,g,c,0.286009,5.79,93.63,0.52,0.05,0.01,0.0,0.0,0.0,وَلِيد,الوليد؛ المولود حديثًا,Newborn; infant,وليد,Walid|Waleed,v0.1.x
زياد,Ziad,m,n,g,c,0.280259,98.72,1.03,0.12,0.08,0.04,0.01,0.0,0.0,زِيَاد,الزيادة؛ النمو,Increase; growth,زياد,Ziad|Ziyad|Zyad,v0.1.x
عبدالسلام,Abdelsalam,m,m,g,c,0.276935,1.27,11.93,33.31,41.59,11.2,0.66,0.04,0.0,عَبْدُالسَّلَام,عبد السلام (السلام من أسماء الله),Servant of Peace,عبدالسلام|عبداالسلام,Abdelsalam|Abdulsalam|Abd al-Salam,v0.1.x
حمدي,Hamdy,m,n,g,c,0.270322,7.12,51.99,35.4,4.44,0.89,0.14,0.02,0.0,حَمْدِي,منسوب إلى الحمد؛ المحمود بالحمد,Related to praise; praiseworthy,حمدي|حمدى,Hamdy|Hamdi,v0.1.x
سلمى,Salma,f,n,g,c,0.270032,97.43,0.28,0.68,0.84,0.69,0.07,0.0,0.0,سَلْمَى,السليمة؛ ذات السلامة,Safe; peaceful,سلمى|سلمي,Salma,v0.1.x
أسامة,Osama,m,m,g,c,0.267788,14.37,82.93,2.48,0.21,0.01,0.0,0.0,0.0,أُسَامَة,الأسد (معنى لغوي تقليدي),Lion (traditional lexical sense,أسامة|أسامه|أوسامة|اسامة|اسامه|اوساما|اوسامة|اوسامه,Osama|Usama|Oussama,v0.1.x
صالح,Saleh,m,m,g,c,0.267416,3.23,15.14,24.57,28.14,25.07,3.62,0.23,0.01,صَالِح,الصالح؛ المستقيم,Righteous; virtuous,صالح,Saleh|Salih,v0.1.x
خليل,Khalil,m,n,g,c,0.266453,0.68,6.74,16.38,33.68,37.42,4.86,0.21,0.02,خَلِيل,الخليل؛ الصديق الحميم,Intimate friend; close companion,خليل,Khalil|Khaleel,v0.1.x
رجب,Ragab,m,m,g,c,0.26152,1.65,34.58,40.07,14.83,7.6,1.22,0.04,0.0,رَجَب,شهر رجب؛ منسوب إلى الشهر,Named after the month of Rajab,رجب,Ragab|Rajab,v0.1.x
رضا,Reda,m,m,g,c,0.260685,4.64,79.89,10.97,4.1,0.31,0.08,0.01,0.0,رِضَا,الرضا؛ القبول,Contentment; approval,رضا,Reda|Rida|Reza,v0.1.x
فاطمة,Fatma,f,m,g,c,0.259577,99.97,0.0,0.0,0.02,0.01,0.0,0.0,0.0,فَاطِمَة,الفطيم؛ المفطومة عن الرضاع (معنى لغوي تقليدي),Weaned (traditional lexical sense,فاطمة|فاطمه,Fatma|Fatima|Fatimah,v0.1.x
عبداللطيف,Abdellatif,m,m,g,c,0.257878,1.2,8.94,29.14,45.74,14.21,0.75,0.01,0.0,عَبْدُاللَّطِيف,عبد اللطيف (اللطيف من أسماء الله),Servant of the Kind,عبداللطيف|عباللطيف|عبداالطيف|عبدااللطيف|عبداللطبف|عبدللطيف,Abdellatif|Abdullatif|Abd al-Latif,v0.1.x
منةالله,Mennetallah,f,m,g,c,0.254608,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,مِنَّةُاللَّه,مِنّة الله؛ نعمة الله وهِبته,Gift/favor of God,منةالله|منةاللة|منهالله,Mennetallah|Mennaallah|Minnatullah|Menatallah,v0.1.x
عيد,Eid,m,n,g,c,0.25459,1.02,27.15,32.36,20.58,16.61,2.19,0.09,0.0,عِيد,العيد؛ الاحتفال,Festival; feast day,عيد,Eid|Id,v0.1.x
عبدالعال,Abdelaal,m,m,g,c,0.252927,0.3,6.39,22.52,39.39,28.89,2.4,0.11,0.0,عَبْدُالْعَال,عبد العال (العال من صفات الله: المتعالي),Servant of the Most High,عبدالعال|عبداالعال|عبدالاعال,Abdelaal|Abdulal|Abd al-Aal,v0.1.x
كامل,Kamel,m,n,g,c,0.252637,1.62,12.12,39.34,40.66,5.38,0.78,0.1,0.01,كَامِل,الكامل؛ التام,Complete; perfect,كامل,Kamel|Kamil,v0.1.x
عوض,Awad,m,n,g,c,0.245543,0.79,11.2,27.25,31.54,25.79,3.2,0.23,0.0,عَوَض,العِوض؛ البدل والتعويض,Compensation; substitute,عوض,Awad|Awadh,v0.1.x
طه,Taha,m,m,g,c,0.244044,6.94,21.19,27.36,31.76,11.06,1.59,0.11,0.01,طَه,اسم من أسماء النبي في القرآن (سورة طه),Ta-Ha; Qur'anic name associated with the Prophet,طه|طة,Taha,v0.1.x
عثمان,Osman,m,m,g,c,0.240819,1.33,9.46,21.83,34.05,29.84,3.3,0.18,0.0,عُثْمَان,اسم علم عربي؛ عثمان,Uthman; traditional Arabic masculine name,عثمان|عتمان|عصمان,Osman|Othman|Uthman|Otman|Utman|Usman,v0.1.x
عماد,Emad,m,n,g,c,0.236723,5.06,93.32,1.43,0.15,0.02,0.01,0.01,0.0,عِمَاد,العماد؛ الدعامة والسند,Pillar; support,عماد|عيماد,Emad|Imad,v0.1.x
سمير,Samir,m,m,g,c,0.234352,4.9,48.51,43.84,2.68,0.06,0.01,0.01,0.0,سَمِير,السمير؛ جليس السمر والمسامرة,Evening companion; conversationalist,سمير,Samir|Sameer,v0.1.x
أمين,Amin,m,n,g,c,0.23348,3.08,11.69,28.0,45.88,10.38,0.87,0.09,0.02,أَمِين,الأمين؛ الموثوق,Trustworthy; faithful,أمين|امين,Amin|Ameen,v0.1.x
كمال,Kamal,m,n,g,c,0.231963,4.74,25.16,54.87,13.71,1.32,0.19,0.01,0.0,كَمَال,الكمال؛ التمام,Perfection; completeness,كمال,Kamal,v0.1.x
سارة,Sara,f,n,g,c,0.231645,99.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,سَارَة,اسم علم توراتي/قرآني لسارة زوجة إبراهيم,Sarah; Biblical/Qur'anic name,سارة|ساره,Sara|Sarah,v0.1.x
جمعة,Gomaa,m,m,g,c,0.231336,0.68,22.85,35.11,22.56,16.6,2.1,0.1,0.0,جُمْعَة,يوم الجمعة؛ المولود يوم الجمعة (عرف تسمية),Friday; traditionally a child born on Friday,جمعة|جعمه|جمعه,Gomaa|Goma|Jumaa|Juma,v0.1.x
موسى,Mousa,m,n,g,c,0.231282,1.59,7.96,18.17,32.17,35.39,4.52,0.17,0.03,مُوسَى,اسم علم توراتي/قرآني للنبي موسى,Moses; the Biblical/Qur'anic prophet's name,موسى|موسىى|موسي,Mousa|Musa|Moses,v0.1.x
آية,Aya,f,m,g,c,0.230128,99.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,آيَة,الآية؛ العلامة والآية القرآنية,Sign; Qur'anic verse,آية|آيه|أية|أيه|إيه|اية|ايه,Aya|Ayah,v0.1.x
جنى,Jana,f,n,g,c,0.227957,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,جَنَى,جنى الثمر؛ ما يُقطف من الثمار,Harvest; gathered fruit,جنى|جني|جنا|جانا,Jana|Janna|Gana,v0.1.x
منصور,Mansour,m,m,g,c,0.227367,1.95,18.54,23.63,24.95,27.25,3.52,0.14,0.02,مَنْصُور,المنصور؛ المؤيَّد بالنصر,Victorious; aided to victory,منصور,Mansour|Mansur,v0.1.x
بسملة,Basmala,f,m,g,c,0.223561,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,بَسْمَلَة,البسملة؛ قول بسم الله الرحمن الرحيم,The basmala; 'In the name of God…',بسملة|بسملا|بسمله,Basmala|Basmalah,v0.1.x
طارق,Tarek,m,m,g,c,0.223397,12.47,85.92,1.42,0.13,0.04,0.0,0.0,0.0,طَارِق,الطارق؛ النجم الثاقب / من يطرق ليلًا,Morning star; night visitor (traditional senses,طارق,Tarek|Tariq|Tarik,v0.1.x
فرج,Farag,m,n,g,c,0.215122,0.9,16.24,26.99,27.51,25.42,2.84,0.11,0.0,فَرَج,الفرج؛ كشف الهمّ,Relief; deliverance,فرج,Farag|Faraj,v0.1.x
شحاتة,Shehata,m,n,g,c,0.208419,0.23,8.86,30.04,32.36,24.86,3.48,0.16,0.01,شَحَّاتَة,الشحّات؛ المتسوّل (لقب مهني),Beggar (occupational nickname,شحاتة|شحاته,Shehata|Shahata,v0.1.x
عبدالوهاب,Abdelwahab,m,m,g,c,0.205739,4.21,9.14,32.02,39.94,13.77,0.87,0.03,0.01,عَبْدُالْوَهَّاب,عبد الوهاب (الوهاب من أسماء الله),Servant of the Bestower,عبدالوهاب,Abdelwahab|Abdulwahab|Abd al-Wahhab,v0.1.x
عصام,Essam,m,n,g,c,0.203868,5.26,91.61,2.85,0.27,0.0,0.0,0.0,0.0,عِصَام,العِصام؛ ما يُشدّ به / الحبل (معنى لغوي),Bond; cord (traditional lexical sense,عصام|اعصام,Essam|Isam|Issam,v0.1.x
عبدالرحيم,Abdelrahim,m,m,g,c,0.203804,2.12,13.12,29.6,36.84,17.32,0.97,0.04,0.0,عَبْدُالرَّحِيم,عبد الرحيم (الرحيم من أسماء الله),Servant of the Merciful,عبدالرحيم|عبداالرحيم|عبدالراحيم|عبدالرحبم|عبدالرحىم,Abdelrahim|Abdulrahim|Abd al-Rahim,v0.1.x
السعيد,Elsaeed,m,n,g,c,0.202869,2.28,20.43,38.95,31.18,6.7,0.44,0.02,0.0,السَّعِيد,السعيد؛ ذو السعادة,The happy/fortunate one,السعيد,Elsaeed|El-Saeed|Alsaeed|Saeed,v0.1.x
حنين,Haneen,f,n,g,c,0.202106,95.24,0.13,0.7,2.27,1.64,0.02,0.0,0.0,حَنِين,الحنين؛ الشوق,Longing; nostalgia,حنين,Haneen|Hanin|Hanein,v0.1.x
عبدالعظيم,Abdelazim,m,m,g,c,0.201997,1.88,9.79,43.74,39.45,4.85,0.25,0.03,0.0,عَبْدُالْعَظِيم,عبد العظيم (العظيم من أسماء الله),Servant of the Magnificent,عبدالعظيم|عبالعظيم|عبداالعظيم|عبدالعطيم|عبدالعظبم,Abdelazim|Abdulazim|Abd al-Azim,v0.1.x
أسماء,Asmaa,f,m,g,c,0.201506,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,أَسْمَاء,جمع اسم؛ اسم علم نسائي,Plural of ism 'name'; feminine given name,أسماء|أسما|اسماء,Asmaa|Asma|Asma'a,v0.1.x
عبدالمجيد,Abdelmeguid,m,m,g,c,0.201234,1.03,7.29,24.77,46.99,18.87,1.01,0.04,0.0,عَبْدُالْمَجِيد,عبد المجيد (المجيد من أسماء الله),Servant of the Glorious,عبدالمجيد|عبداالمجيد|عبدالمجبد|عبدالمحيد,Abdelmeguid|Abdelmajid|Abdulmajeed|Abd al-Majid,v0.1.x
صابر,Saber,m,n,g,c,0.200434,2.02,34.08,43.1,16.94,3.45,0.39,0.02,0.0,صَابِر,الصابر؛ المتحمّل,Patient; enduring,صابر,Saber|Sabir,v0.1.x
عبدالحليم,Abdelhalim,m,m,g,c,0.198827,2.01,10.77,29.33,43.1,13.84,0.93,0.02,0.0,عَبْدُالْحَلِيم,عبد الحليم (الحليم من أسماء الله),Servant of the Forbearing,عبدالحليم|عبداالحليم|عبدالحالم|عبدالحلبم|عبدالحلي,Abdelhalim|Abdulhalim|Abd al-Halim,v0.1.x
شريف,Sherif,m,m,g,c,0.198809,8.44,75.04,3.56,3.55,7.47,1.82,0.13,0.0,شَرِيف,الشريف؛ ذو الشرف,Noble; honorable,شريف|شربف,Sherif|Sharif|Shareef,v0.1.x
عبدالقادر,Abdelkader,m,m,g,c,0.197364,1.27,10.09,30.42,40.81,16.49,0.9,0.01,0.0,عَبْدُالْقَادِر,عبد القادر (القادر من أسماء الله),Servant of the Able,عبدالقادر|عبالقادر|عبداالقادر|عبدالفادر|عبدالقدر,Abdelkader|Abdulkader|Abd al-Qadir,v0.1.x
رحمة,Rahma,f,m,g,c,0.193495,99.54,0.0,0.03,0.09,0.26,0.06,0.01,0.0,رَحْمَة,الرحمة؛ الرأفة,Mercy; compassion,رحمة|رحمه,Rahma|Rahmah,v0.1.x
وائل,Wael,m,n,g,c,0.193349,2.4,96.91,0.64,0.04,0.01,0.0,0.0,0.0,وَائِل,العائد / اللاجئ إلى الملجأ (معنى لغوي تقليدي),One who returns/seeks refuge (traditional sense,وائل|وائيل|وايل,Wael|Wail|Wa'el,v0.1.x
مجدي,Magdy,m,n,g,c,0.193286,4.35,81.37,13.0,1.16,0.09,0.03,0.0,0.0,مَجْدِي,منسوب إلى المجد؛ المجيد,Related to glory; glorious,مجدي|مجدى,Magdy|Magdi|Majdi,v0.1.x
منة,Menna,f,m,g,c,0.192723,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,مِنَّة,المِنّة؛ النعمة والهِبة,Favor; gift,منة|منه,Menna|Minna|Mennah,v0.1.x
فوزي,Fawzy,m,n,g,c,0.191987,2.28,17.97,68.47,10.26,0.76,0.21,0.05,0.0,فَوْزِي,منسوب إلى الفوز؛ الفائز,Related to victory; victorious,فوزي|فؤزى|فوزى|فوزيى,Fawzy|Fawzi,v0.1.x
عبدالغني,Abdelghany,m,m,g,c,0.190461,1.34,8.2,28.46,47.73,13.45,0.79,0.03,0.0,عَبْدُالْغَنِي,عبد الغني (الغني من أسماء الله),Servant of the Self-Sufficient,عبدالغني|عبدالعنى|عبدالغنى,Abdelghany|Abdelghani|Abdulghani|Abd al-Ghani,v0.1.x
سلامة,Salama,m,n,g,c,0.189207,1.38,16.38,23.47,25.33,29.04,4.24,0.16,0.01,سَلَامَة,السلامة؛ العافية,Safety; well-being,سلامة|سلامه,Salama|Salamah,v0.1.x
علاء,Alaa,m,m,g,c,0.183467,11.02,88.19,0.75,0.03,0.0,0.01,0.0,0.0,عَلَاء,العلاء؛ الرفعة,Exaltedness; loftiness,علاء,Alaa|Ala|Ala'a,v0.1.x
كريم,Karim,m,m,g,c,0.181159,79.72,12.86,2.35,2.12,2.53,0.4,0.01,0.0,كَرِيم,الكريم؛ السخي الشريف,Generous; noble,كريم,Karim|Kareem,v0.1.x
روان,Rawan,f,n,g,c,0.180133,100.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,رَوَان,روان؛ ماء جارٍ / نهر (معنى أعلامي شائع),A flowing river (common onomastic sense,روان,Rawan|Rawaan,v0.1.x
ياسمين,Yasmin,f,n,g,c,0.179842,99.92,0.0,0.0,0.01,0.05,0.02,0.0,0.0,يَاسْمِين,زهرة الياسمين,Jasmine flower,ياسمين|ياسمبن|ياسيمن,Yasmin|Yasmine|Jasmin,v0.1.x
يحيى,Yehia,m,n,g,c,0.179624,26.91,31.77,28.84,7.19,4.54,0.72,0.04,0.0,يَحْيَى,اسم علم توراتي/قرآني للنبي يحيى؛ يحيا,John/Yahya; the Biblical/Qur'anic prophet's name,يحيى|يحى|يحىي|يحي|يحيا|يحيي,Yehia|Yahya|Yehya,v0.1.x
عباس,Abbas,m,m,g,c,0.178698,0.49,8.84,31.62,47.47,10.62,0.9,0.05,0.0,عَبَّاس,الأسد العابس / الشديد (معنى لغوي تقليدي),Stern lion; frowning (traditional lexical sense,عباس,Abbas,v0.1.x
هشام,Hesham,m,m,g,c,0.178162,12.19,85.78,1.55,0.19,0.27,0.02,0.0,0.0,هِشَام,الكريم الجواد (معنى لغوي تقليدي),Generous; munificent (traditional sense,هشام|هيشام,Hesham|Hisham,v0.1.x
متولي,Metwally,m,m,g,c,0.174165,0.6,6.71,21.28,36.09,32.98,2.25,0.08,0.0,مُتَوَلِّي,المتولّي؛ القائم بالأمر,Guardian; one who takes charge,متولي|متولى|متوالي|متوالى,Metwally|Metwali|Mutawalli|Metwaly|Matoali,v0.1.x
هاجر,Hagar,f,m,g,c,0.173775,99.93,0.01,0.0,0.01,0.02,0.03,0.0,0.0,هَاجَر,اسم علم توراتي/قرآني لهاجر أم إسماعيل,Hagar; Biblical/Qur'anic name,هاجر,Hagar|Hajer|Hajar,v0.1.x
